survey_definition_id,survey_stoplight_id,survey_definition_country_code,survey_definition_latitude,survey_definition_longitude,survey_definition_lang,survey_definition_survey_code,survey_definition_stoplight_type,survey_definition_status,survey_stoplight_code_name,survey_stoplight_short_name,survey_stoplight_question_text,survey_stoplight_description,survey_stoplight_dimension,survey_stoplight_created_at,survey_stoplight_order_number,survey_stoplight_definition,survey_stoplight_survey_indicator_id,survey_stoplight_survey_dimension_id,red_description,yellow_description,green_description
92,4224,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,protectionEnvironment,Environmental care,Promoting environmental care,I promote environmental care,Environmental Care,10/26/2021,10,"Environmental awareness is an integral part of the environmental care. By teaching our friends and family that the physical environment is fragile and indispensable, we can begin fixing the problems that threaten it. After you’ve chosen an issue and educated yourself, engage your community, family, and friends in a conversation about the issue’s urgency and importance. By engaging your community in the conversation, you are not only promoting environmental awareness, but you may also find opportunities to participate in communal projects or to get involved in other related causes.}",94.0,25,I do not motivate my family and friends into responsible environmental behaviors.,I generally encourage my family and friends in responsible environmental behaviors.,I always encourage my family and friends with responsible environmental behaviors and I take part in community activities regarding environmental care.
92,4223,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,knowledgeOfClimateChange,Climate change,Knowledge on climate change,I keep myself informed about climate change,Environmental Care,10/26/2021,9,"Climate change is the long-term change in temperature and common climate trends of a place. The cause of today’s climate change is largely human activity, with the burning of fossil fuels such as natural gas, oil, and coal. Knowledge of climate change is important because by recognizing the role we have as humans in this, we recognize the consequences of our actions and we can act to reduce our negative effect on the planet.",340.0,25,I don’t stay informed about climate change and I don’t think about how I act on it.,"I stay informed about climate change and the actions that lead to it, but I do not act to decrease my contribution.",I stay informed about climate change and the actions that lead to it. I act to decrease my contribution and research ways to influence policy-making.
92,4222,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,garbageDisposal,Garbage,Garbage disposal,I dispose my garbage properly,Environmental Care,10/26/2021,8,"Garbage disposal refers to an appropriate waste location. This means the family disposes their garbage in order. This is done placing it in places provided for its collection or channeling it to dumps or landfills, sanitary landfills, or other prepared places, or b) Disposing it appropriately in your own home.",7.0,25,"My family members burn their garbage or dump underground in their property or close to their home, water source or farming areas.","My family members bury their garbage in a sealed hole within their property but it is not placed 20 meters or further away from their house, water source and farming areas.","My family members dispose of their garbage in a trash can until it is collected or they bury their organic waste in a hole, at least 20 meters away from the house, water sources and farming areas. My family recycles inorganic waste."
92,4221,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,vegetableGarden,Composting,Vegetable garden and composting,I know what steps to follow to have a vegetable garden,Environmental Care,10/26/2021,7,"A vegetable (or urban) garden with composting is an alternative form of food production and distribution that takes advantage of available local resources (waste, water, space...) to generate products for self-consumption.",339.0,25,I do not what steps to follow to have a vegetable garden.,I know what steps to follow to have a vegetable garden but I do not practice them.,"I know what steps to follow to have a vegetable garden: I have or take care of one, and I separate my organic waste to use it as fertilizer or compost."
92,4220,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,plasticUsageReduction,Plastics use,Plastic use reduction,I try to avoid using plastic,Environmental Care,10/26/2021,6,"Reducing plastic use refers to the conscious use of said disposable material. We try to reduce the use of plastic because of its damage to the environment: its production uses large amounts of various natural resources and after its elimination, it takes more than 500 years to decompose.
Different ways to reduce plastic use are:
1. Using cloth bags
2. Using straws made of metal, paper, or other materials
3. Drinking water from reusable bottles",338.0,25,I use plastic constantly and do not reuse it.,"I use plastic on occasion, but if someone offers another alternative, I choose it. I do not reuse plastic, for me it is something to be used once.","I use plastic only when I can’t find another alternative. When I do use plastic, I reuse the material in different ways. (ex: I make toys or flowerpots out of a water bottle)."
92,4219,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,sustainableTransportation,Transportation,Sustainable transportation,I use sustainable means of transport,Environmental Care,10/26/2021,5,"Sustainable transportation is a system that allows transportation of people and goods at lower social and environmental costs than current means, reducing the weight of the private vehicle.",337.0,25,I don’t usually think of sustainable transportation.,"I usually use a car to get around, but I share it with other people.","To take care of the environment, I try to use sustainable means to get around such as: public transport or walking/cycling for short distances."
92,4218,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,energySavings,Energy,Efficient energy use,I save energy at home,Environmental Care,10/26/2021,4,"Efficient energy use, sometimes simply called energy efficiency or energy saving, is the goal of reducing the amount of energy required for household activities.",72.0,25,I do not practice the steps necessary to reduce my household’s energy consumption.,"I try to practice the steps necessary to reduce my household’s energy consumption, but I find it difficult to meet the points mentioned in the green level.","I practice the steps necessary to reduce my household’s energy consumption:
1. I avoid leaving appliances plugged in after using them.
2. I turn off the lights when leaving a room."
92,4217,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,recycling,Recycling practices,Recycling practices,I get products mindful of the environment,Environmental Care,10/26/2021,3,"The culture of recycling refers to reusing or avoiding materials that could previously be considered as waste to reduce the need for some products, and thus reducing the amount of waste and the extraction of natural resources for the production of new materials. A person has recycling tendencies when they:
1. Avoid the use of plastic
2. Reuse disposable materials (use the other side of printed papers, reuse straws or bottles, etc.)",96.0,25,I don’t buy products with their effect on the environment in mind. I do not meet the points mentioned in the green level.,"I try to buy products thinking about their effect on the environment, but I do not comply with 1 of the points mentioned in the green level.","I try to buy products thinking about their effect on the environment by:
1. Reducing the use of products made of plastic or other single-use materials,
2. Reusing everything I can (papers, bottles, etc.)"
92,4216,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,wasteSeparation,Waste separation,Waste separation,I separate waste adequately,Environmental Care,10/26/2021,2,"Waste separation consists of separating household or personal waste into the following categories: Organic: All waste of biological origin that was once alive or was part of a living being. Inorganic: All waste that is not of biological origin, and Recycling, for those wastes that will be transformed or reused again.",336.0,25,I don’t know how to separate waste properly.,"I separate my waste, but not every time.","I separate my waste into organic, inorganic and recycling piles."
92,4215,GB,4.028134,-2.232603,en_US,GREEN_STOPLIGHT_0_10,ENVIRONMENTAL,APPROVED,water,Water use,Responsible water use,I consume water responsibly,Environmental Care,10/26/2021,1,"Using water rationally is essential not only for economic reasons but also because water is a non-renewable resource. Simple habits such as not leaving the water running in daily actions like showering, brushing teeth, shaving, washing dishes or the car can generate great positive results.",8.0,25,"Usually, I leave the water running when I take a shower, brush my teeth or wash silverware, etc.","Sometimes I leave the water running when I take a shower, brush my teeth or wash silverware, etc.","I have a habit of not leaving the water running when I shower, brush my teeth, wash silverware, etc."
